year	text
0000	"Salvador Domingo Felipe Jacinto Dalí i Domènech was born on 11 May 1904, at 8:45 am GMT, at the 1st floor of Carrer Monturiol 20, in the town of Figueres, in the Empordà region, close to the French border in Catalonia, Spain. Dalí's older brother, who had also been named Salvador (born 12 October 1901), had died of gastroenteritis nine months earlier, on 1 August 1903. His father, Salvador Dalí i Cusí, was a middle-class lawyer and notary whose strict disciplinary approach was tempered by his wife, Felipa Domenech Ferrés, who encouraged her son's artistic endeavors. Dalí also had a sister, Anna Maria, who was three years younger."
1910	"Dali is 6 years old, his family lives in a beautifull city near the sea, Cadaques. Dalí was taken to his brother's grave and told by his parents that he was his brother's reincarnation, a concept which he came to believe."
1919	"Dali is 15 years old and has his first public exhibition at the Municipa Theatre in Figures."
1916	"Dali is 12 years old and attends drawing school where he discovered modern painting.
1921	"Dali is 16 years old and his mother died of breast cancer. Dalí's father married his deceased wife's sister. Dalí did not resent this marriage, because he had a great love and respect for his aunt."
1922	"Dali is 17 years old and moves into the Residencia de Esudiantes (Students' Residence) in Madrid. He studies at the Real Academia de Bellas Artes de San Fernando. He expirimentes with Cubism."
1924	"Dali is 19 years old and ilustrates the book, Les bruixes de Liers. This is his first illustration. He expiriments with Dada."
1926	"Dali is 21 years old and is expeled from the Academy because he was accused of starting an unrest. This year he made his first visit to Paris where he met Pablo Picasso, whome Dali revered. Picasso introduced him to many Surrealist friends."
1929	"Dali is 24 years old and makes a surrealist film with Luis Bunuel named Un Chien Andalou. In thsi year Dali meets Gala (Elana Ivanovna Diakonova). She is his primary muse. And he invented the paranoiac-critical method of accessing the subconscious for greater artistic creativity."
1930	"Dali is 25 years old and his father throws Dali out of his paternal home and disinherites Dali because he disapproves of his sons romance with Gala and saw his connection to the Surrealists as a bad influence on his morals."
1934	"Dali is 29 years old and he and Gala marries in a semi-secret civil ceremony. Dali has his first big exhibition in New York called Persistence of Memory. He and his wife make a scene in parties in New York."
1936	"Dali is 31 years old and Spain is going through a civile war, with many artists taking a side or going into exile."
1938	"Dali is 32 years old and becomes very popular in the mode and movie branch."
1939	"Dali is 33 years old and is not very popular under the Surrealists anymore."
1940	"Dali is 34 years old when world War 2 tore through Europe, Dali and Gala retreated to the United States, where they lived for eight years splitting their time between New York and Monterey, California. Dali expirimentes with Catholicism."
1941	"Dali is 35 years old and  publishes his autobiography, The Secret Life of Salvador Dali."
1947	"Dali is 41 years old whem an Italian friar, Gabriele Maria Berardi, performes an exorcism on Dali."
1948	"Dali is 42 years old when heand Gala move back to Cadaques. He accepts and implicit embrace Franco's dictatirship, which is strongly disapproved of by other Spanish artist and intellectuals. He starts to live a quite life."
1958	"Dali is 52 years and does not confine himself to painting late in his career. We explores many unusual or novel media and developes a keen interest in natural science and mathematics."
