year	text
0000	"Paul Klee was born in Münchenbuchsee, Switzerland, as the second child of German music teacher Hans Wilhelm Klee and Swiss singer Ida Marie Klee, née Frick. His sister Mathilde was born on 28 January 1876 in Walzenhausen. Their father came from Tann and studied at the Stuttgart Conservatory singing, piano, organ and violin, meeting there his future wife Ida Frick. Hans Wilhelm Klee was active as a music teacher at the Bern State Seminary in Hofwil near Bern until 1931. Klee was able to develop his music skills as his parents encouraged and inspired him until his death. In 1880, his family moved to Bern, where they moved 17 years later after numerous changes of residence into a house at the Kirchenfeld district. From 1886 to 1890, Klee visited primary school and received, at the age of 7, violin classes at the Municipal Music School. He was so talented on violin that, aged 11, he received an invitation to play as an extraordinary member of the Bern Music Association."
1907	"Klee is 28 years old Klee married Bavarian painist Lily Strumpf and they had a son named Felix Paul. They lived in a suburb of Munich. His attempt to be a magazine illustratir failed. And his art work progressed slowly for the next five years."
1910	"Klee is 31 years old and has his first solo exhibition in Bern which then traveld to three Swiss cities."
1911	"Klee is 32 years old and is introduced to the Blaue Reiter (a group of artist who published almenacs and exhibitions in Munish) in a few months Klee became one of the most iportant an independent members of the group, but he was not yet fully integrated."
1912	"Klee is 33 years old and travels to Paris where he is exposed to the ferment of Cubism and the pioneering examples of abstract art."
1914	"Klee is 35 years old and fisited Tunisia where is impressed by the quality of light there. Klee paints his first pure abstract this year. Later that year, World War 1 begins."
1916	"Klee is 37 years old. Klee is conscripted as a Landsturmsoldat (soldier of the reserve forced in Prussia or Imperial Germany) and had to fight. In the war he lost friends."
1917	"Klee is 38 years old and he is transferred to the Royal Bavarian flying school in Gersthofen to work as a clerk for treasurer until the end of the war."
1919	"Klee is 40 years old and applied for a teaching post at the Acedemy of Art in Stuttgart. This attempt failed but he had a major succes in securing a three-year contract with dealer Hans Goltz."
1921	"Klee is 42 years old and start teaching at the Bauhaus."
1923	"Klee is 44 years old and becomes a member of Die Blaue Vier which lectured and exhibited together in the USA. Klee also has his first exhibits in Paris and became a hit with the French Surrealists."
1928	"Klee is 49 years old when he visits Egypt, which impressed him less than Tunisia."
1929	"Klee is 50 years old when a major monograph on his work was published, written by Will Grohmann."
1931	"Klee is 52 years old and starts teaching at the Dusseldorf Acedemy and singles out by a Nazi newspaper:  "Then that great fellow Klee comes onto the scene, already famed as a Bauhaus teacher in Dessau. He tells everyone he's a thoroughbred Arab, but he's a typical Galician Jew." His home is search by the Gestapo and he looses his job."
1932	"Klee is 53 years old when reaches the peak of his creative output and expiriments with his pointillist style."
1933	"Klee is 54 years old when he visits London and Paris where he meets Pablo Picasso, whom he greatly admires. The Klee family emigrates to Switzerland late that year. But he is experiencing the symptoms of what was diagnosed as scieroderma after his death. The progression of his fatal disease makes swallowing very difficult."
1939	"Klee is 60 years old when he creates over 1200 works in one year. He used heavier lines and mainly geometric forms with fewer but larger blocks of color."
